Draw Date,b1,b2,b3,b4,b5,b6,Jackpot,Outcome,mean,median,std,min,max,range,sum_without_bonus,sum_with_bonus,even_count,odd_count,low_range_count,high_range_count,prev_common_count,has_consecutive
Tuesday 2 August 2022,13,14,20,43,45,1,"R20,844,335.70",Roll,27.0,20.0,14.099645385611653,13,45,32,135,136,2,4,3,3,0,True
Friday 29 July 2022,7,14,28,32,36,8,"R15,396,097.45",Roll,23.4,28.0,11.056219968868204,7,36,29,117,125,4,2,2,4,1,False
Tuesday 26 July 2022,4,6,9,41,50,13,"R9,866,068.15",Roll,22.0,9.0,19.462785001124583,4,50,46,110,123,3,3,3,3,0,False
Friday 22 July 2022,5,18,19,20,48,1,"R5,129,551.94",Roll,22.0,19.0,14.099645385611653,5,48,43,110,111,3,3,4,2,0,True
Tuesday 19 July 2022,14,18,29,46,47,16,"R99,983,308.10",Won,30.8,29.0,13.731715115017497,14,47,33,154,170,3,3,2,4,1,True
Friday 15 July 2022,3,9,36,44,50,16,"R92,523,343.43",Roll,28.4,36.0,18.916659324521337,3,50,47,142,158,3,3,2,4,0,False
Tuesday 12 July 2022,1,17,21,47,48,15,"R84,443,129.56",Roll,26.8,21.0,18.18130908378162,1,48,47,134,149,1,5,3,3,0,True
Friday 8 July 2022,4,9,19,21,37,15,"R78,410,169.51",Roll,18.0,19.0,11.384199576606166,4,37,33,90,105,1,5,4,2,1,False
Tuesday 5 July 2022,13,14,16,18,31,19,"R71,441,573.49",Roll,18.4,16.0,6.529931086925803,13,31,18,92,111,3,3,4,2,0,True
Friday 1 July 2022,6,8,13,21,28,1,"R65,132,535.44",Roll,15.2,13.0,8.23164625090267,6,28,22,76,77,3,3,4,2,1,False
Tuesday 28 June 2022,9,12,28,29,50,13,"R58,557,859.13",Roll,25.6,28.0,14.65059725744995,9,50,41,128,141,3,3,2,4,1,True
Friday 24 June 2022,4,13,25,38,44,13,"R53,012,952.77",Roll,24.8,25.0,14.931845163944073,4,44,40,124,137,3,3,3,3,0,False
Tuesday 21 June 2022,2,6,18,40,50,16,"R47,203,134.97",Roll,23.2,18.0,18.829763673503713,2,50,48,116,132,5,1,3,3,0,False
Friday 17 June 2022,4,22,32,46,48,16,"R41,987,732.24",Roll,30.4,32.0,16.267759526130202,4,48,44,152,168,5,1,2,4,0,False
Tuesday 14 June 2022,5,23,26,46,48,16,"R36,470,128.65",Roll,29.6,26.0,15.932357013323546,5,48,43,148,164,3,3,2,4,2,False
Friday 10 June 2022,12,25,26,27,49,13,"R31,396,177.01",Roll,27.8,26.0,11.923086848631105,12,49,37,139,152,2,4,2,4,1,True
Tuesday 7 June 2022,4,7,35,41,46,4,"R25,763,696.16",Roll,26.6,35.0,17.6022725805505,4,46,42,133,137,2,4,2,4,0,False
Friday 3 June 2022,12,17,20,21,33,6,"R20,648,399.15",Roll,20.6,20.0,6.945502141674135,12,33,21,103,109,2,4,4,2,0,True
Tuesday 31 May 2022,1,5,17,24,33,13,"R14,937,736.19",Roll,16.0,17.0,11.832159566199232,1,33,32,80,93,1,5,4,2,2,False
Friday 27 May 2022,7,24,26,27,50,18,"R10,104,851.62",Roll,26.8,26.0,13.702554506368513,7,50,43,134,152,3,3,2,4,1,True
Tuesday 24 May 2022,7,16,21,22,32,12,"R4,304,985.40",Roll,19.6,21.0,8.16333265278342,7,32,25,98,110,3,3,4,2,1,True
Friday 20 May 2022,2,14,19,24,39,9,"R126,589,752.05",Won,19.6,19.0,12.142487389328432,2,39,37,98,107,3,3,4,2,0,False
