Year,Date,Day,b1,b2,b3,b4,b5,b6,BonusBall,mean,median,std,min,max,range,sum_without_bonus,sum_with_bonus,even_count,odd_count,low_range_count,high_range_count,prev_common_count,has_consecutive
2015,16 December,Wednesday,30,27,7,2,15,17,49,16.333333333333332,16.0,9.961035198322623,2,30,28,98,147,2,4,4,2,1,False
2015,12 December,Saturday,43,46,48,11,29,31,12,34.666666666666664,37.0,12.788884062167252,11,48,37,208,220,2,4,1,5,0,False
2015,09 December,Wednesday,4,41,39,14,34,32,45,27.333333333333332,33.0,13.609637108395736,4,41,37,164,209,4,2,2,4,0,False
2015,05 December,Saturday,16,43,39,19,5,8,13,21.666666666666668,17.5,14.487542541400488,5,43,38,130,143,2,4,4,2,1,False
2015,02 December,Wednesday,40,33,25,34,36,43,35,35.166666666666664,35.0,5.6984403324262525,25,43,18,211,246,3,3,1,5,1,True
2015,28 November,Saturday,47,26,9,4,20,23,32,21.5,21.5,13.768926368215256,4,47,43,129,161,3,3,4,2,0,False
2015,25 November,Wednesday,34,14,43,5,44,23,8,27.166666666666668,28.5,14.507660811523758,5,44,39,163,171,3,3,3,3,1,True
2015,21 November,Saturday,9,4,42,8,29,6,46,16.333333333333332,8.5,14.149990184527418,4,42,38,98,144,4,2,4,2,0,True
2015,18 November,Wednesday,30,3,14,41,27,38,22,25.5,28.5,13.275918047351754,3,41,38,153,175,3,3,2,4,0,False
2015,14 November,Saturday,4,38,8,44,11,5,31,18.333333333333332,9.5,16.275407487644937,4,44,40,110,141,4,2,4,2,1,True
2015,11 November,Wednesday,21,20,14,2,37,25,24,19.833333333333332,20.5,10.605292179955356,2,37,35,119,143,3,3,5,1,0,True
2015,07 November,Saturday,4,1,7,20,3,16,5,8.5,5.5,7.041543391425869,1,20,19,51,56,3,3,6,0,1,True
2015,04 November,Wednesday,40,36,29,31,38,39,6,35.5,37.0,4.112987559751022,29,40,11,213,219,3,3,0,6,0,True
2015,31 October,Saturday,1,24,39,30,44,20,26,26.333333333333332,27.0,13.98411797560202,1,44,43,158,184,4,2,3,3,1,False
2015,28 October,Wednesday,23,46,31,42,47,16,4,34.166666666666664,36.5,11.767422072069236,16,47,31,205,209,3,3,2,4,0,True
2015,24 October,Saturday,29,28,31,5,40,11,46,24.0,28.5,12.083045973594572,5,40,35,144,190,2,4,2,4,1,True
2015,21 October,Wednesday,38,30,13,14,33,20,3,24.666666666666668,25.0,9.551032521262936,13,38,25,148,151,4,2,3,3,0,True
2015,17 October,Saturday,47,34,8,17,22,38,10,27.666666666666668,28.0,13.249737942901193,8,47,39,166,176,4,2,3,3,1,False
2015,14 October,Wednesday,12,32,42,37,5,19,25,24.5,25.5,13.450526631573451,5,42,37,147,172,3,3,3,3,0,False
2015,10 October,Saturday,45,1,2,34,19,30,40,21.833333333333332,24.5,16.262601951170737,1,45,44,131,171,3,3,3,3,1,True
2015,07 October,Wednesday,24,43,1,31,46,8,25,25.5,27.5,16.660832312142553,1,46,45,153,178,3,3,3,3,1,False
